round  0,    ('binary_accuracy', 0.5271429), ('loss', 1.3698748), ('num_examples', 700), ('num_batches', 700)   ,   
round  2,    ('binary_accuracy', 0.91571426), ('loss', 0.5517806), ('num_examples', 700), ('num_batches', 700)   ,   
round  3,    ('binary_accuracy', 0.94), ('loss', 0.52911127), ('num_examples', 700), ('num_batches', 700)   ,   
round  4,    ('binary_accuracy', 0.9442857), ('loss', 0.56513923), ('num_examples', 700), ('num_batches', 700)   ,   
round  5,    ('binary_accuracy', 0.9442857), ('loss', 0.61564714), ('num_examples', 700), ('num_batches', 700)   ,   
round  6,    ('binary_accuracy', 0.9442857), ('loss', 0.6685063), ('num_examples', 700), ('num_batches', 700)   ,   
round  7,    ('binary_accuracy', 0.9442857), ('loss', 0.71415985), ('num_examples', 700), ('num_batches', 700)   ,   
round  8,    ('binary_accuracy', 0.9442857), ('loss', 0.745292), ('num_examples', 700), ('num_batches', 700)   ,   
round  9,    ('binary_accuracy', 0.9442857), ('loss', 0.76249915), ('num_examples', 700), ('num_batches', 700)   ,   
-----------------------------------End----------------------------------
round  0,    ('binary_accuracy', 0.5271429), ('loss', 1.3698748), ('num_examples', 700), ('num_batches', 700)   ,   
round  1,    ('binary_accuracy', 0.75), ('loss', 0.7620509), ('num_examples', 700), ('num_batches', 700)   ,   
round  2,    ('binary_accuracy', 0.91571426), ('loss', 0.5517806), ('num_examples', 700), ('num_batches', 700)   ,   
round  3,    ('binary_accuracy', 0.94), ('loss', 0.52911127), ('num_examples', 700), ('num_batches', 700)   ,   
round  4,    ('binary_accuracy', 0.9442857), ('loss', 0.56513923), ('num_examples', 700), ('num_batches', 700)   ,   
round  5,    ('binary_accuracy', 0.9442857), ('loss', 0.61564714), ('num_examples', 700), ('num_batches', 700)   ,   
round  6,    ('binary_accuracy', 0.9442857), ('loss', 0.6685063), ('num_examples', 700), ('num_batches', 700)   ,   
round  7,    ('binary_accuracy', 0.9442857), ('loss', 0.71415985), ('num_examples', 700), ('num_batches', 700)   ,   
round  8,    ('binary_accuracy', 0.9442857), ('loss', 0.745292), ('num_examples', 700), ('num_batches', 700)   ,   
round  9,    ('binary_accuracy', 0.9442857), ('loss', 0.76249915), ('num_examples', 700), ('num_batches', 700)   ,   
-----------------------------------End----------------------------------
round  0,    ('binary_accuracy', 0.5271429), ('loss', 1.3698748), ('num_examples', 700), ('num_batches', 700)   ,   
round  1,    ('binary_accuracy', 0.75), ('loss', 0.7620509), ('num_examples', 700), ('num_batches', 700)   ,   
round  2,    ('binary_accuracy', 0.91571426), ('loss', 0.5517806), ('num_examples', 700), ('num_batches', 700)   ,   
round  3,    ('binary_accuracy', 0.94), ('loss', 0.52911127), ('num_examples', 700), ('num_batches', 700)   ,   
round  4,    ('binary_accuracy', 0.9442857), ('loss', 0.56513923), ('num_examples', 700), ('num_batches', 700)   ,   
round  5,    ('binary_accuracy', 0.9442857), ('loss', 0.61564714), ('num_examples', 700), ('num_batches', 700)   ,   
round  6,    ('binary_accuracy', 0.9442857), ('loss', 0.6685063), ('num_examples', 700), ('num_batches', 700)   ,   
round  7,    ('binary_accuracy', 0.9442857), ('loss', 0.71415985), ('num_examples', 700), ('num_batches', 700)   ,   
round  8,    ('binary_accuracy', 0.9442857), ('loss', 0.745292), ('num_examples', 700), ('num_batches', 700)   ,   
round  9,    ('binary_accuracy', 0.9442857), ('loss', 0.76249915), ('num_examples', 700), ('num_batches', 700)   ,   
-----------------------------------End----------------------------------
round  0,    ('binary_accuracy', 0.5271429), ('loss', 1.3698748), ('num_examples', 700), ('num_batches', 700)   ,   
round  1,    ('binary_accuracy', 0.75), ('loss', 0.7620509), ('num_examples', 700), ('num_batches', 700)   ,   
round  2,    ('binary_accuracy', 0.91571426), ('loss', 0.5517806), ('num_examples', 700), ('num_batches', 700)   ,   
round  3,    ('binary_accuracy', 0.94), ('loss', 0.52911127), ('num_examples', 700), ('num_batches', 700)   ,   
round  4,    ('binary_accuracy', 0.9442857), ('loss', 0.56513923), ('num_examples', 700), ('num_batches', 700)   ,   
round  5,    ('binary_accuracy', 0.9442857), ('loss', 0.61564714), ('num_examples', 700), ('num_batches', 700)   ,   
round  6,    ('binary_accuracy', 0.9442857), ('loss', 0.6685063), ('num_examples', 700), ('num_batches', 700)   ,   
round  7,    ('binary_accuracy', 0.9442857), ('loss', 0.71415985), ('num_examples', 700), ('num_batches', 700)   ,   
round  8,    ('binary_accuracy', 0.9442857), ('loss', 0.745292), ('num_examples', 700), ('num_batches', 700)   ,   
round  9,    ('binary_accuracy', 0.9442857), ('loss', 0.76249915), ('num_examples', 700), ('num_batches', 700)   ,   
-----------------------------------End----------------------------------
round  0,    ('binary_accuracy', 0.5271429), ('loss', 1.3698748), ('num_examples', 700), ('num_batches', 700)   ,   
round  1,    ('binary_accuracy', 0.75), ('loss', 0.7620509), ('num_examples', 700), ('num_batches', 700)   ,   
round  2,    ('binary_accuracy', 0.91571426), ('loss', 0.5517806), ('num_examples', 700), ('num_batches', 700)   ,   
round  3,    ('binary_accuracy', 0.94), ('loss', 0.52911127), ('num_examples', 700), ('num_batches', 700)   ,   
round  4,    ('binary_accuracy', 0.9442857), ('loss', 0.56513923), ('num_examples', 700), ('num_batches', 700)   ,   
round  5,    ('binary_accuracy', 0.9442857), ('loss', 0.61564714), ('num_examples', 700), ('num_batches', 700)   ,   
round  6,    ('binary_accuracy', 0.9442857), ('loss', 0.6685063), ('num_examples', 700), ('num_batches', 700)   ,   
round  7,    ('binary_accuracy', 0.9442857), ('loss', 0.71415985), ('num_examples', 700), ('num_batches', 700)   ,   
round  8,    ('binary_accuracy', 0.9442857), ('loss', 0.745292), ('num_examples', 700), ('num_batches', 700)   ,   
round  9,    ('binary_accuracy', 0.9442857), ('loss', 0.76249915), ('num_examples', 700), ('num_batches', 700)   ,   
-----------------------------------End----------------------------------
round  0,    ('binary_accuracy', 0.5271429), ('loss', 1.3698748), ('num_examples', 700), ('num_batches', 700)   ,   
round  1,    ('binary_accuracy', 0.75), ('loss', 0.7620509), ('num_examples', 700), ('num_batches', 700)   ,   
round  2,    ('binary_accuracy', 0.91571426), ('loss', 0.5517806), ('num_examples', 700), ('num_batches', 700)   ,   
round  3,    ('binary_accuracy', 0.94), ('loss', 0.52911127), ('num_examples', 700), ('num_batches', 700)   ,   
round  4,    ('binary_accuracy', 0.9442857), ('loss', 0.56513923), ('num_examples', 700), ('num_batches', 700)   ,   
round  5,    ('binary_accuracy', 0.9442857), ('loss', 0.61564714), ('num_examples', 700), ('num_batches', 700)   ,   
round  6,    ('binary_accuracy', 0.9442857), ('loss', 0.6685063), ('num_examples', 700), ('num_batches', 700)   ,   
round  7,    ('binary_accuracy', 0.9442857), ('loss', 0.71415985), ('num_examples', 700), ('num_batches', 700)   ,   
round  8,    ('binary_accuracy', 0.9442857), ('loss', 0.745292), ('num_examples', 700), ('num_batches', 700)   ,   
round  9,    ('binary_accuracy', 0.9442857), ('loss', 0.76249915), ('num_examples', 700), ('num_batches', 700)   ,   
-----------------------------------End----------------------------------
round  0,    ('binary_accuracy', 0.5271429), ('loss', 1.3698748), ('num_examples', 700), ('num_batches', 700)   ,   
round  1,    ('binary_accuracy', 0.75), ('loss', 0.7620509), ('num_examples', 700), ('num_batches', 700)   ,   
round  2,    ('binary_accuracy', 0.91571426), ('loss', 0.5517806), ('num_examples', 700), ('num_batches', 700)   ,   
round  3,    ('binary_accuracy', 0.94), ('loss', 0.52911127), ('num_examples', 700), ('num_batches', 700)   ,   
round  4,    ('binary_accuracy', 0.9442857), ('loss', 0.56513923), ('num_examples', 700), ('num_batches', 700)   ,   
round  5,    ('binary_accuracy', 0.9442857), ('loss', 0.61564714), ('num_examples', 700), ('num_batches', 700)   ,   
round  6,    ('binary_accuracy', 0.9442857), ('loss', 0.6685063), ('num_examples', 700), ('num_batches', 700)   ,   
round  7,    ('binary_accuracy', 0.9442857), ('loss', 0.71415985), ('num_examples', 700), ('num_batches', 700)   ,   
round  8,    ('binary_accuracy', 0.9442857), ('loss', 0.745292), ('num_examples', 700), ('num_batches', 700)   ,   
round  9,    ('binary_accuracy', 0.9442857), ('loss', 0.76249915), ('num_examples', 700), ('num_batches', 700)   ,   
-----------------------------------End----------------------------------
